,slug,resort_name,state,base_elevation,base_public_lift_elevation,peak_public_lift_elevation,peak_elevation,max_lift_served_run_vert,advertised_acres,skiable_acres,public_skiable_acres,public_lift_served_skiable_acres,public_boundary_area,region
49,killington,Killington,Vermont,1160.0,1160.0,4150,4229,2990.0,1509.0,1509,1509,1500,2880,Northeast
50,timberline-lodge,Timberline Lodge,Oregon,3985.0,4840.0,8500,8500,3660.0,1685.0,1500,1500,1210,1500,Pacific
51,whitewater,Whitewater,British Columbia,4545.0,4545.0,6750,7580,2005.0,1367.0,1500,1500,1367,1500,Western Canada
52,sierraattahoe,Sierra-at-Tahoe,California,6640.0,6640.0,8850,8850,1590.0,2000.0,1450,1450,1450,1450,Pacific
53,kimberley,Kimberley,British Columbia,4055.0,4055.0,6240,6240,2185.0,1800.0,1450,1450,1450,1450,Western Canada
54,arapahoe-basin,Arapahoe Basin,Colorado,10360.0,10785.0,12467,13050,1682.0,1428.0,1428,1428,1088,1428,Rockies
55,wolf-creek,Wolf Creek,Colorado,10260.0,10260.0,11740,11879,1480.0,1600.0,1425,1425,1200,1425,Rockies
56,alyeska,Alyeska,Alaska,280.0,280.0,2750,3940,2470.0,1610.0,1400,1400,1000,1400,Pacific
57,sugarloaf,Sugarloaf,Maine,1393.0,1393.0,4163,4238,2770.0,1360.0,1360,1360,860,2500,Northeast
58,49-degrees-north,49 Degrees North,Washington,3910.0,3910.0,5776,5776,1866.0,2325.0,1350,1350,1350,1350,Pacific
59,bear-valley,Bear Valley,California,6620.0,6620.0,8488,8488,1868.0,1680.0,1300,1300,700,1300,Pacific
60,taos,Taos,New Mexico,9350.0,9350.0,12450,12488,3100.0,1294.0,1294,1294,1025,1294,Rockies
61,mount-spokane,Mount Spokane,Washington,3850.0,3850.0,5885,5885,2035.0,1704.0,1225,1225,1225,1225,Pacific
62,lost-trail,Lost Trail,Montana,6425.0,6425.0,8180,8180,1755.0,1800.0,1200,1200,1200,1200,Rockies
63,solitude,Solitude,Utah,8000.0,8000.0,10015,10489,2015.0,1200.0,1200,1200,1070,1330,Rockies
64,sunrise-park,Sunrise Park,Arizona,9355.0,9355.0,10900,10932,1545.0,1200.0,1200,1200,1200,1350,Rockies
65,white-pass,White Pass,Washington,4480.0,4480.0,6520,6520,2040.0,1402.0,1175,1175,1175,1175,Pacific
66,brundage-mountain,Brundage Mountain,Idaho,5965.0,5965.0,7600,7661,1635.0,1920.0,1150,1150,1130,1150,Rockies
67,soldier-mountain,Soldier Mountain,Idaho,5780.0,5780.0,7177,7177,1397.0,1150.0,1150,1150,950,1150,Rockies
68,stevens-pass,Stevens Pass,Washington,3825.0,3825.0,5680,5855,1765.0,1125.0,1125,1125,1045,1125,Pacific
69,smugglers-notch,Smugglers' Notch,Vermont,1110.0,1110.0,3650,3650,2540.0,1060.0,1060,1060,1060,1216,Northeast
70,june,June,California,7560.0,7560.0,10130,10130,2570.0,1500.0,1060,1060,1060,1060,Pacific
71,silver-mountain,Silver Mountain,Idaho,4160.0,4160.0,6245,6297,2085.0,1600.0,1050,1050,1020,1050,Rockies
72,sugar-bowl,Sugar Bowl,California,6910.0,6910.0,8365,8381,1415.0,1650.0,1050,1050,900,1050,Pacific
73,the-summit-at-snoqualmie,The Summit at Snoqualmie,Washington,2620.0,2620.0,3865,3865,1245.0,1089.0,1025,1025,1025,1025,Pacific
74,mount-washington,Mount Washington,British Columbia,3550.0,3550.0,5150,5200,1600.0,1700.0,1025,1025,960,1025,Western Canada
75,marmot-basin,Marmot Basin,Alberta,5640.0,5640.0,8180,8556,2540.0,1720.0,1025,1025,855,1025,Western Canada
76,homewood,Homewood,California,6230.0,6230.0,7880,7880,1650.0,1260.0,1025,1025,955,1025,Pacific
77,aspen-highlands,Aspen Highlands,Colorado,8090.0,8090.0,11580,12387,3490.0,1024.0,1024,1024,784,1225,Rockies
78,mission-ridge,Mission Ridge,Washington,4585.0,4585.0,6770,6770,2185.0,2000.0,1000,1000,820,1000,Pacific
79,red-lodge,Red Lodge,Montana,7080.0,7080.0,9390,9390,2310.0,1635.0,1000,1000,1000,1000,Rockies
80,powderhorn,Powderhorn,Colorado,8170.0,8170.0,9830,9830,1660.0,1600.0,1000,1000,1000,1000,Rockies
81,great-divide,Great Divide,Montana,5800.0,5800.0,7190,7334,1390.0,1500.0,975,975,945,975,Rockies
82,apex,Apex,British Columbia,5250.0,5250.0,7142,7142,1892.0,1112.0,965,965,965,965,Western Canada
83,montana-snowbowl,Montana Snowbowl,Montana,5000.0,5000.0,7530,7530,2530.0,950.0,950,950,950,1840,Rockies
84,monarch,Monarch,Colorado,10695.0,10695.0,11800,11940,1105.0,1146.0,940,940,810,940,Rockies
85,powder-king,Powder King,British Columbia,3125.0,3125.0,5010,5010,1885.0,925.0,925,925,925,1075,Western Canada
86,brighton,Brighton,Utah,8750.0,8750.0,10460,10721,2305.0,1050.0,890,890,858,890,Rockies
87,sunday-river,Sunday River,Maine,815.0,815.0,3130,3130,2315.0,870.0,870,870,870,2300,Northeast
88,dodge-ridge,Dodge Ridge,California,6570.0,6570.0,8150,8150,1580.0,862.0,862,862,862,890,Pacific
89,aspen-mountain,Aspen Mountain,Colorado,7950.0,7950.0,11260,11260,3310.0,860.0,860,860,860,1070,Rockies
90,mount-rose,Mount Rose,Nevada,7940.0,7940.0,9565,9565,1625.0,1200.0,800,800,800,800,Pacific
91,nakiska,Nakiska,Alberta,4915.0,4915.0,7415,7415,2505.0,1021.0,790,790,790,790,Western Canada
92,mount-baker,Mount Baker,Washington,3630.0,3630.0,5090,5090,1460.0,1000.0,770,770,770,770,Pacific
93,mont-tremblant,Mont Tremblant,Quebec,755.0,755.0,2863,2878,2108.0,753.0,753,753,753,2650,Eastern Canada
94,ski-apache,Ski Apache,New Mexico,9656.0,9656.0,11400,11573,1744.0,750.0,750,750,750,750,Rockies
95,lookout-pass,Lookout Pass,Idaho,4508.0,4508.0,6160,6160,1652.0,1023.0,740,740,740,740,Rockies
96,sunlight,Sunlight,Colorado,7890.0,8125.0,9893,9893,1768.0,730.0,730,730,690,775,Rockies
97,stratton,Stratton,Vermont,1990.0,1990.0,3880,3880,1890.0,670.0,670,670,670,1375,Northeast
98,beaver-mountain,Beaver Mountain,Utah,7150.0,7150.0,8760,8760,1610.0,667.0,667,667,667,850,Rockies
99,okemo,Okemo,Vermont,1155.0,1155.0,3320,3320,2165.0,667.0,667,667,667,1780,Northeast
100,china-peak,China Peak,California,7030.0,7030.0,8630,8630,1600.0,1400.0,660,660,660,660,Pacific
